大枣,甘遂,芫花,大戟,,,,,,,,,,,,,,,,,,,,,
麻黄,石膏,生姜,大枣,甘草,,,,,,,,,,,,,,,,,,,,
防己,黄芪,桂枝,茯苓,甘草,,,,,,,,,,,,,,,,,,,,
甘草,麻黄,,,,,,,,,,,,,,,,,,,,,,,
麻黄,甘草,附子,,,,,,,,,,,,,,,,,,,,,,
黄芪,芍药,桂枝,苦酒,,,,,,,,,,,,,,,,,,,,,
桂枝,芍药,甘草,生姜,大枣,黄芪,,,,,,,,,,,,,,,,,,,
桂枝,生姜,甘草,大枣,麻黄,细辛,附子,,,,,,,,,,,,,,,,,,
枳实,白术,,,,,,,,,,,,,,,,,,,,,,,
茵陈蒿,栀子,大黄,,,,,,,,,,,,,,,,,,,,,,
硝石,矾石,,,,,,,,,,,,,,,,,,,,,,,
栀子,大黄,枳实,豉,,,,,,,,,,,,,,,,,,,,,
猪膏,乱发,,,,,,,,,,,,,,,,,,,,,,,
茵陈蒿,五苓散,,,,,,,,,,,,,,,,,,,,,,,
大黄,黄柏,硝石,栀子,,,,,,,,,,,,,,,,,,,,,
麻黄,清酒,,,,,,,,,,,,,,,,,,,,,,,
桂枝,甘草,生姜,牡蛎,龙骨,大枣,蜀漆,,,,,,,,,,,,,,,,,,
半夏,麻黄,,,,,,,,,,,,,,,,,,,,,,,
柏叶,干姜,艾,马通汁,,,,,,,,,,,,,,,,,,,,,
甘草,干地黄,白术,附子,阿胶,黄芩,灶中黄土,,,,,,,,,,,,,,,,,,
大黄,黄连,黄芩,,,,,,,,,,,,,,,,,,,,,,
吴茱萸,人参,生姜,大枣,,,,,,,,,,,,,,,,,,,,,
半夏,黄芩,干姜,人参,黄连,大枣,甘草,,,,,,,,,,,,,,,,,,
黄芩,甘草,芍药,半夏,生姜,大枣,,,,,,,,,,,,,,,,,,,
猪苓,茯苓,白术,,,,,,,,,,,,,,,,,,,,,,
附子,干姜,甘草,,,,,,,,,,,,,,,,,,,,,,
柴胡,黄芩,人参,甘草,半夏,生姜,大枣,,,,,,,,,,,,,,,,,,
半夏,人参,白蜜,,,,,,,,,,,,,,,,,,,,,,
大黄,甘草,,,,,,,,,,,,,,,,,,,,,,,
茯苓,泽泻,甘草,桂枝,白术,生姜,,,,,,,,,,,,,,,,,,,
